Assembly	GCA_019361675.1_ASM1936167v1_genomic
# contigs (>= 0 bp)	81
# contigs (>= 1000 bp)	35
# contigs (>= 5000 bp)	24
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4840988
Total length (>= 1000 bp)	4823624
Total length (>= 5000 bp)	4800933
Total length (>= 10000 bp)	4770691
Total length (>= 25000 bp)	4734009
Total length (>= 50000 bp)	4695938
# contigs	42
Largest contig	1137708
Total length	4828955
GC (%)	52.23
N50	402006
N90	118503
auN	496486.2
L50	4
L90	13
# N's per 100 kbp	2.22
