Assembly	GCA_019361375.1_ASM1936137v1_genomic
# contigs (>= 0 bp)	189
# contigs (>= 1000 bp)	44
# contigs (>= 5000 bp)	36
# contigs (>= 10000 bp)	34
# contigs (>= 25000 bp)	28
# contigs (>= 50000 bp)	22
Total length (>= 0 bp)	4986860
Total length (>= 1000 bp)	4944238
Total length (>= 5000 bp)	4927015
Total length (>= 10000 bp)	4916045
Total length (>= 25000 bp)	4812295
Total length (>= 50000 bp)	4620516
# contigs	52
Largest contig	599432
Total length	4950043
GC (%)	52.19
N50	307439
N90	75235
auN	311015.0
L50	6
L90	20
# N's per 100 kbp	0.00
