Assembly	GCA_019362975.1_ASM1936297v1_genomic
# contigs (>= 0 bp)	48
# contigs (>= 1000 bp)	20
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4711283
Total length (>= 1000 bp)	4699677
Total length (>= 5000 bp)	4687175
Total length (>= 10000 bp)	4681089
Total length (>= 25000 bp)	4681089
Total length (>= 50000 bp)	4643005
# contigs	26
Largest contig	1508548
Total length	4704063
GC (%)	52.14
N50	490421
N90	172397
auN	768210.4
L50	3
L90	8
# N's per 100 kbp	0.17
