Assembly	GCA_019362475.1_ASM1936247v1_genomic
# contigs (>= 0 bp)	87
# contigs (>= 1000 bp)	40
# contigs (>= 5000 bp)	23
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4857661
Total length (>= 1000 bp)	4839835
Total length (>= 5000 bp)	4799277
Total length (>= 10000 bp)	4770564
Total length (>= 25000 bp)	4733882
Total length (>= 50000 bp)	4695811
# contigs	46
Largest contig	1137708
Total length	4844370
GC (%)	52.22
N50	402006
N90	128250
auN	497386.0
L50	4
L90	13
# N's per 100 kbp	2.23
