Assembly	GCA_019363465.1_ASM1936346v1_genomic
# contigs (>= 0 bp)	168
# contigs (>= 1000 bp)	64
# contigs (>= 5000 bp)	40
# contigs (>= 10000 bp)	37
# contigs (>= 25000 bp)	31
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	5246821
Total length (>= 1000 bp)	5209288
Total length (>= 5000 bp)	5153901
Total length (>= 10000 bp)	5135504
Total length (>= 25000 bp)	5032936
Total length (>= 50000 bp)	4933616
# contigs	81
Largest contig	636157
Total length	5221353
GC (%)	51.88
N50	260246
N90	63457
auN	304780.3
L50	6
L90	25
# N's per 100 kbp	1.90
