Assembly	GCA_019363245.1_ASM1936324v1_genomic
# contigs (>= 0 bp)	81
# contigs (>= 1000 bp)	40
# contigs (>= 5000 bp)	29
# contigs (>= 10000 bp)	27
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	21
Total length (>= 0 bp)	4961382
Total length (>= 1000 bp)	4944934
Total length (>= 5000 bp)	4924323
Total length (>= 10000 bp)	4912769
Total length (>= 25000 bp)	4876782
Total length (>= 50000 bp)	4739893
# contigs	48
Largest contig	596720
Total length	4950926
GC (%)	52.19
N50	341641
N90	90604
auN	345013.6
L50	5
L90	17
# N's per 100 kbp	0.18
