Assembly	GCA_019361835.1_ASM1936183v1_genomic
# contigs (>= 0 bp)	70
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4666432
Total length (>= 1000 bp)	4648511
Total length (>= 5000 bp)	4632319
Total length (>= 10000 bp)	4624290
Total length (>= 25000 bp)	4624290
Total length (>= 50000 bp)	4555587
# contigs	31
Largest contig	1455334
Total length	4654028
GC (%)	52.31
N50	450566
N90	142405
auN	704090.7
L50	3
L90	9
# N's per 100 kbp	0.00
