Assembly	GCA_019363155.1_ASM1936315v1_genomic
# contigs (>= 0 bp)	146
# contigs (>= 1000 bp)	67
# contigs (>= 5000 bp)	48
# contigs (>= 10000 bp)	43
# contigs (>= 25000 bp)	34
# contigs (>= 50000 bp)	26
Total length (>= 0 bp)	5231882
Total length (>= 1000 bp)	5201502
Total length (>= 5000 bp)	5154965
Total length (>= 10000 bp)	5124685
Total length (>= 25000 bp)	4955431
Total length (>= 50000 bp)	4676534
# contigs	79
Largest contig	567649
Total length	5210513
GC (%)	51.86
N50	211384
N90	44213
auN	241989.6
L50	8
L90	27
# N's per 100 kbp	1.88
