Assembly	GCA_019363905.1_ASM1936390v1_genomic
# contigs (>= 0 bp)	117
# contigs (>= 1000 bp)	53
# contigs (>= 5000 bp)	37
# contigs (>= 10000 bp)	31
# contigs (>= 25000 bp)	26
# contigs (>= 50000 bp)	23
Total length (>= 0 bp)	5228222
Total length (>= 1000 bp)	5202459
Total length (>= 5000 bp)	5163652
Total length (>= 10000 bp)	5129188
Total length (>= 25000 bp)	5045287
Total length (>= 50000 bp)	4934078
# contigs	67
Largest contig	574870
Total length	5212717
GC (%)	51.86
N50	337137
N90	75235
auN	317278.6
L50	6
L90	20
# N's per 100 kbp	0.15
