Assembly	GCA_019364055.1_ASM1936405v1_genomic
# contigs (>= 0 bp)	149
# contigs (>= 1000 bp)	65
# contigs (>= 5000 bp)	45
# contigs (>= 10000 bp)	40
# contigs (>= 25000 bp)	34
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	5203471
Total length (>= 1000 bp)	5168352
Total length (>= 5000 bp)	5120250
Total length (>= 10000 bp)	5089391
Total length (>= 25000 bp)	4992461
Total length (>= 50000 bp)	4747084
# contigs	80
Largest contig	510396
Total length	5179098
GC (%)	51.86
N50	180263
N90	56193
auN	249997.8
L50	8
L90	26
# N's per 100 kbp	0.00
