Assembly	GCA_019361205.1_ASM1936120v1_genomic
# contigs (>= 0 bp)	91
# contigs (>= 1000 bp)	42
# contigs (>= 5000 bp)	30
# contigs (>= 10000 bp)	28
# contigs (>= 25000 bp)	21
# contigs (>= 50000 bp)	19
Total length (>= 0 bp)	4964852
Total length (>= 1000 bp)	4946163
Total length (>= 5000 bp)	4923846
Total length (>= 10000 bp)	4912838
Total length (>= 25000 bp)	4786036
Total length (>= 50000 bp)	4715611
# contigs	50
Largest contig	658967
Total length	4952083
GC (%)	52.19
N50	377380
N90	90604
auN	380219.2
L50	5
L90	16
# N's per 100 kbp	0.00
