Assembly	GCA_019364025.1_ASM1936402v1_genomic
# contigs (>= 0 bp)	112
# contigs (>= 1000 bp)	36
# contigs (>= 5000 bp)	28
# contigs (>= 10000 bp)	27
# contigs (>= 25000 bp)	21
# contigs (>= 50000 bp)	19
Total length (>= 0 bp)	4973658
Total length (>= 1000 bp)	4945287
Total length (>= 5000 bp)	4927391
Total length (>= 10000 bp)	4921884
Total length (>= 25000 bp)	4817286
Total length (>= 50000 bp)	4746861
# contigs	44
Largest contig	747535
Total length	4951058
GC (%)	52.19
N50	510405
N90	90728
auN	419481.4
L50	4
L90	15
# N's per 100 kbp	0.18
