Assembly	GCA_019364295.1_ASM1936429v1_genomic
# contigs (>= 0 bp)	72
# contigs (>= 1000 bp)	21
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	13
Total length (>= 0 bp)	4723382
Total length (>= 1000 bp)	4703486
Total length (>= 5000 bp)	4688746
Total length (>= 10000 bp)	4682660
Total length (>= 25000 bp)	4682660
Total length (>= 50000 bp)	4644576
# contigs	26
Largest contig	1508584
Total length	4707444
GC (%)	52.14
N50	439123
N90	153350
auN	758635.2
L50	3
L90	9
# N's per 100 kbp	0.38
