Assembly	GCA_019361415.1_ASM1936141v1_genomic
# contigs (>= 0 bp)	91
# contigs (>= 1000 bp)	38
# contigs (>= 5000 bp)	23
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4856714
Total length (>= 1000 bp)	4836639
Total length (>= 5000 bp)	4800519
Total length (>= 10000 bp)	4770277
Total length (>= 25000 bp)	4733595
Total length (>= 50000 bp)	4695524
# contigs	43
Largest contig	1137708
Total length	4840458
GC (%)	52.23
N50	401817
N90	128250
auN	497742.2
L50	4
L90	13
# N's per 100 kbp	2.19
