Assembly	GCA_019362165.1_ASM1936216v1_genomic
# contigs (>= 0 bp)	80
# contigs (>= 1000 bp)	37
# contigs (>= 5000 bp)	30
# contigs (>= 10000 bp)	28
# contigs (>= 25000 bp)	26
# contigs (>= 50000 bp)	23
Total length (>= 0 bp)	4809506
Total length (>= 1000 bp)	4793008
Total length (>= 5000 bp)	4782538
Total length (>= 10000 bp)	4770995
Total length (>= 25000 bp)	4734607
Total length (>= 50000 bp)	4622581
# contigs	45
Largest contig	683447
Total length	4798184
GC (%)	52.24
N50	225812
N90	81551
auN	311831.8
L50	6
L90	19
# N's per 100 kbp	0.35
