Assembly	GCA_019362735.1_ASM1936273v1_genomic
# contigs (>= 0 bp)	143
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	13
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	4669943
Total length (>= 1000 bp)	4620141
Total length (>= 5000 bp)	4608139
Total length (>= 10000 bp)	4608139
Total length (>= 25000 bp)	4598116
Total length (>= 50000 bp)	4519435
# contigs	27
Largest contig	1283717
Total length	4626522
GC (%)	52.26
N50	699194
N90	326062
auN	707079.0
L50	3
L90	7
# N's per 100 kbp	0.00
