Assembly	GCA_019364415.1_ASM1936441v1_genomic
# contigs (>= 0 bp)	79
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	18
# contigs (>= 10000 bp)	16
# contigs (>= 25000 bp)	15
# contigs (>= 50000 bp)	14
Total length (>= 0 bp)	4754808
Total length (>= 1000 bp)	4733177
Total length (>= 5000 bp)	4721467
Total length (>= 10000 bp)	4706879
Total length (>= 25000 bp)	4696550
Total length (>= 50000 bp)	4659549
# contigs	33
Largest contig	840512
Total length	4740234
GC (%)	52.18
N50	688418
N90	138344
auN	556647.8
L50	4
L90	10
# N's per 100 kbp	0.19
