Assembly	GCA_019362875.1_ASM1936287v1_genomic
# contigs (>= 0 bp)	153
# contigs (>= 1000 bp)	58
# contigs (>= 5000 bp)	48
# contigs (>= 10000 bp)	47
# contigs (>= 25000 bp)	37
# contigs (>= 50000 bp)	28
Total length (>= 0 bp)	5174573
Total length (>= 1000 bp)	5138012
Total length (>= 5000 bp)	5117310
Total length (>= 10000 bp)	5107572
Total length (>= 25000 bp)	4946904
Total length (>= 50000 bp)	4582765
# contigs	74
Largest contig	416667
Total length	5149115
GC (%)	51.78
N50	192620
N90	46504
auN	201738.8
L50	9
L90	30
# N's per 100 kbp	2.25
