#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	20212	21467	hsiC1/vipB	229-1481/1497	..======/======	7/15	83.30	75.04	vfdb	NP_248774
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	59631	60043	gmhA/lpcA	130-542/585	...===========.	0/0	70.60	77.72	vfdb	NP_439337
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	307952	308485	fimI	1-534/534	===============	0/0	100.00	99.25	vfdb	NP_459539
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	308529	309221	fimC	1-693/693	===============	0/0	100.00	98.41	vfdb	NP_459540
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	309252	311864	fimD	1-2613/2613	===============	0/0	100.00	98.78	vfdb	NP_459541
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	311879	312886	fimH	1-1008/1008	===============	0/0	100.00	97.92	vfdb	NP_459542
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	312896	313414	fimF	1-519/519	===============	0/0	100.00	98.46	vfdb	NP_459543
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	319659	320566	gtrB	1-908/930	===============	0/0	97.63	77.20	vfdb	NP_706258
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	344761	347016	fepA	1-2241/2241	========/======	16/55	99.11	78.16	vfdb	NP_752600
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	353995	354782	fepC	1-788/816	========/======	2/2	96.45	80.48	vfdb	NP_752606
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	354779	355687	fepG	85-993/993	.==============	0/0	91.54	80.64	vfdb	NP_752607
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	355786	356785	fepD	3-1002/1017	===============	0/0	98.33	78.60	vfdb	NP_752608
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	356886	358112	entS	1-1227/1251	===============	0/0	98.08	78.81	vfdb	NP_752609
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	358230	359097	fepB	53-920/957	===============	0/0	90.70	76.96	vfdb	NP_752610
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	359447	360633	entC	2-1188/1188	========/======	4/4	99.75	77.80	vfdb	NP_752611
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	360643	362240	entE	1-1598/1611	========/======	5/10	98.88	79.60	vfdb	NP_752612
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	362267	363117	entB	1-851/858	===============	0/0	99.18	80.26	vfdb	NP_752613
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	363148	363875	entA	16-743/747	===============	0/0	97.46	80.50	vfdb	NP_752614
/scratch/mnk5428/kenyans/data/GCA_019362885.1_ASM1936288v1_genomic.fna	JAAIBS010000001.1	569905	572172	slrP	1-2298/2298	========/======	2/30	98.69	97.43	vfdb	NP_459778
