Assembly	GCA_019361985.1_ASM1936198v1_genomic
# contigs (>= 0 bp)	56
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	13
# contigs (>= 10000 bp)	12
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	4710485
Total length (>= 1000 bp)	4696268
Total length (>= 5000 bp)	4686898
Total length (>= 10000 bp)	4680812
Total length (>= 25000 bp)	4680812
Total length (>= 50000 bp)	4642728
# contigs	24
Largest contig	1508737
Total length	4699762
GC (%)	52.15
N50	490147
N90	227984
auN	790661.5
L50	3
L90	7
# N's per 100 kbp	2.32
