Assembly	GCA_019363095.1_ASM1936309v1_genomic
# contigs (>= 0 bp)	61
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4714694
Total length (>= 1000 bp)	4698035
Total length (>= 5000 bp)	4688184
Total length (>= 10000 bp)	4683042
Total length (>= 25000 bp)	4683042
Total length (>= 50000 bp)	4644958
# contigs	28
Largest contig	1508587
Total length	4704472
GC (%)	52.14
N50	490852
N90	171242
auN	768823.0
L50	3
L90	8
# N's per 100 kbp	0.55
