Assembly	GCA_019361625.1_ASM1936162v1_genomic
# contigs (>= 0 bp)	86
# contigs (>= 1000 bp)	39
# contigs (>= 5000 bp)	23
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4797778
Total length (>= 1000 bp)	4779329
Total length (>= 5000 bp)	4738607
Total length (>= 10000 bp)	4707893
Total length (>= 25000 bp)	4671211
Total length (>= 50000 bp)	4633140
# contigs	47
Largest contig	1075253
Total length	4784984
GC (%)	52.23
N50	401817
N90	128266
auN	474650.1
L50	4
L90	13
# N's per 100 kbp	2.22
