Assembly	GCA_019363855.1_ASM1936385v1_genomic
# contigs (>= 0 bp)	134
# contigs (>= 1000 bp)	39
# contigs (>= 5000 bp)	23
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4816983
Total length (>= 1000 bp)	4778277
Total length (>= 5000 bp)	4738463
Total length (>= 10000 bp)	4707582
Total length (>= 25000 bp)	4670900
Total length (>= 50000 bp)	4632829
# contigs	49
Largest contig	1075024
Total length	4785435
GC (%)	52.22
N50	401817
N90	128250
auN	474500.0
L50	4
L90	13
# N's per 100 kbp	2.24
