Assembly	GCA_019363955.1_ASM1936395v1_genomic
# contigs (>= 0 bp)	64
# contigs (>= 1000 bp)	22
# contigs (>= 5000 bp)	15
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4717118
Total length (>= 1000 bp)	4700037
Total length (>= 5000 bp)	4687300
Total length (>= 10000 bp)	4682059
Total length (>= 25000 bp)	4682059
Total length (>= 50000 bp)	4607910
# contigs	29
Largest contig	1508587
Total length	4704834
GC (%)	52.14
N50	490859
N90	153350
auN	764160.6
L50	3
L90	9
# N's per 100 kbp	2.40
