Assembly	GCA_019362015.1_ASM1936201v1_genomic
# contigs (>= 0 bp)	68
# contigs (>= 1000 bp)	20
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4717953
Total length (>= 1000 bp)	4698392
Total length (>= 5000 bp)	4687449
Total length (>= 10000 bp)	4682307
Total length (>= 25000 bp)	4682307
Total length (>= 50000 bp)	4644223
# contigs	28
Largest contig	1508587
Total length	4704266
GC (%)	52.14
N50	490859
N90	172397
auN	768399.1
L50	3
L90	8
# N's per 100 kbp	2.42
