Assembly	GCA_019363395.1_ASM1936339v1_genomic
# contigs (>= 0 bp)	83
# contigs (>= 1000 bp)	42
# contigs (>= 5000 bp)	24
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4856171
Total length (>= 1000 bp)	4841636
Total length (>= 5000 bp)	4797868
Total length (>= 10000 bp)	4767626
Total length (>= 25000 bp)	4730944
Total length (>= 50000 bp)	4692873
# contigs	46
Largest contig	1137708
Total length	4844861
GC (%)	52.23
N50	402006
N90	115433
auN	494723.6
L50	4
L90	13
# N's per 100 kbp	0.21
