Assembly	GCA_019363555.1_ASM1936355v1_genomic
# contigs (>= 0 bp)	175
# contigs (>= 1000 bp)	68
# contigs (>= 5000 bp)	50
# contigs (>= 10000 bp)	45
# contigs (>= 25000 bp)	36
# contigs (>= 50000 bp)	23
Total length (>= 0 bp)	5231367
Total length (>= 1000 bp)	5196298
Total length (>= 5000 bp)	5148728
Total length (>= 10000 bp)	5118594
Total length (>= 25000 bp)	4970148
Total length (>= 50000 bp)	4526021
# contigs	79
Largest contig	536373
Total length	5204109
GC (%)	51.86
N50	222942
N90	36724
auN	245740.5
L50	8
L90	27
# N's per 100 kbp	0.17
