Assembly	GCA_019361295.1_ASM1936129v1_genomic
# contigs (>= 0 bp)	91
# contigs (>= 1000 bp)	45
# contigs (>= 5000 bp)	28
# contigs (>= 10000 bp)	23
# contigs (>= 25000 bp)	20
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4891007
Total length (>= 1000 bp)	4874814
Total length (>= 5000 bp)	4834379
Total length (>= 10000 bp)	4797509
Total length (>= 25000 bp)	4750391
Total length (>= 50000 bp)	4649928
# contigs	49
Largest contig	1074467
Total length	4877802
GC (%)	52.20
N50	402143
N90	103190
auN	458174.9
L50	4
L90	14
# N's per 100 kbp	2.40
