Assembly	GCA_019364465.1_ASM1936446v1_genomic
# contigs (>= 0 bp)	77
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	4634964
Total length (>= 1000 bp)	4616189
Total length (>= 5000 bp)	4601531
Total length (>= 10000 bp)	4593502
Total length (>= 25000 bp)	4593502
Total length (>= 50000 bp)	4511973
# contigs	25
Largest contig	1819283
Total length	4617466
GC (%)	52.32
N50	711576
N90	142434
auN	957145.7
L50	2
L90	8
# N's per 100 kbp	0.19
