Assembly	GCA_019362135.1_ASM1936213v1_genomic
# contigs (>= 0 bp)	47
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	13
# contigs (>= 10000 bp)	12
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	4750485
Total length (>= 1000 bp)	4740080
Total length (>= 5000 bp)	4730933
Total length (>= 10000 bp)	4724804
Total length (>= 25000 bp)	4724804
Total length (>= 50000 bp)	4686720
# contigs	20
Largest contig	1549500
Total length	4741654
GC (%)	52.12
N50	490295
N90	227833
auN	811078.8
L50	3
L90	7
# N's per 100 kbp	2.30
