Assembly	GCA_019362685.1_ASM1936268v1_genomic
# contigs (>= 0 bp)	58
# contigs (>= 1000 bp)	19
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4711021
Total length (>= 1000 bp)	4696133
Total length (>= 5000 bp)	4687115
Total length (>= 10000 bp)	4681973
Total length (>= 25000 bp)	4681973
Total length (>= 50000 bp)	4643889
# contigs	26
Largest contig	1508587
Total length	4701048
GC (%)	52.14
N50	490859
N90	172397
auN	768805.2
L50	3
L90	8
# N's per 100 kbp	2.42
