Assembly	GCA_019361715.1_ASM1936171v1_genomic
# contigs (>= 0 bp)	80
# contigs (>= 1000 bp)	39
# contigs (>= 5000 bp)	24
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4853149
Total length (>= 1000 bp)	4837844
Total length (>= 5000 bp)	4800266
Total length (>= 10000 bp)	4770024
Total length (>= 25000 bp)	4733342
Total length (>= 50000 bp)	4648238
# contigs	44
Largest contig	1137708
Total length	4841793
GC (%)	52.23
N50	402107
N90	128250
auN	487594.2
L50	4
L90	13
# N's per 100 kbp	2.21
