Assembly	GCA_019362075.1_ASM1936207v1_genomic
# contigs (>= 0 bp)	115
# contigs (>= 1000 bp)	51
# contigs (>= 5000 bp)	37
# contigs (>= 10000 bp)	33
# contigs (>= 25000 bp)	28
# contigs (>= 50000 bp)	25
Total length (>= 0 bp)	5193853
Total length (>= 1000 bp)	5169553
Total length (>= 5000 bp)	5134115
Total length (>= 10000 bp)	5109587
Total length (>= 25000 bp)	5030505
Total length (>= 50000 bp)	4927758
# contigs	62
Largest contig	567533
Total length	5177109
GC (%)	51.87
N50	259836
N90	75363
auN	293947.3
L50	7
L90	21
# N's per 100 kbp	1.91
