Assembly	GCA_019364245.1_ASM1936424v1_genomic
# contigs (>= 0 bp)	102
# contigs (>= 1000 bp)	41
# contigs (>= 5000 bp)	30
# contigs (>= 10000 bp)	29
# contigs (>= 25000 bp)	23
# contigs (>= 50000 bp)	20
Total length (>= 0 bp)	4969822
Total length (>= 1000 bp)	4945615
Total length (>= 5000 bp)	4922283
Total length (>= 10000 bp)	4916776
Total length (>= 25000 bp)	4816886
Total length (>= 50000 bp)	4698585
# contigs	51
Largest contig	596720
Total length	4953011
GC (%)	52.19
N50	377380
N90	81554
auN	351178.8
L50	5
L90	17
# N's per 100 kbp	0.00
