Assembly	GCA_019362495.1_ASM1936249v1_genomic
# contigs (>= 0 bp)	80
# contigs (>= 1000 bp)	21
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	10
Total length (>= 0 bp)	4651403
Total length (>= 1000 bp)	4629073
Total length (>= 5000 bp)	4616375
Total length (>= 10000 bp)	4616375
Total length (>= 25000 bp)	4616375
Total length (>= 50000 bp)	4466826
# contigs	32
Largest contig	1130251
Total length	4635809
GC (%)	52.23
N50	715486
N90	145613
auN	660741.7
L50	3
L90	8
# N's per 100 kbp	2.65
