Assembly	GCA_019361595.1_ASM1936159v1_genomic
# contigs (>= 0 bp)	93
# contigs (>= 1000 bp)	40
# contigs (>= 5000 bp)	25
# contigs (>= 10000 bp)	21
# contigs (>= 25000 bp)	19
# contigs (>= 50000 bp)	18
Total length (>= 0 bp)	4856111
Total length (>= 1000 bp)	4835536
Total length (>= 5000 bp)	4797246
Total length (>= 10000 bp)	4767004
Total length (>= 25000 bp)	4730322
Total length (>= 50000 bp)	4692251
# contigs	48
Largest contig	1071755
Total length	4841745
GC (%)	52.23
N50	401816
N90	103190
auN	465821.0
L50	4
L90	14
# N's per 100 kbp	2.23
