Assembly	GCA_019361735.1_ASM1936173v1_genomic
# contigs (>= 0 bp)	128
# contigs (>= 1000 bp)	38
# contigs (>= 5000 bp)	27
# contigs (>= 10000 bp)	26
# contigs (>= 25000 bp)	24
# contigs (>= 50000 bp)	20
Total length (>= 0 bp)	4978606
Total length (>= 1000 bp)	4943982
Total length (>= 5000 bp)	4922101
Total length (>= 10000 bp)	4916594
Total length (>= 25000 bp)	4881616
Total length (>= 50000 bp)	4744727
# contigs	47
Largest contig	596720
Total length	4950702
GC (%)	52.19
N50	377380
N90	90728
auN	351905.0
L50	5
L90	17
# N's per 100 kbp	2.18
