Assembly	GCA_019363075.1_ASM1936307v1_genomic
# contigs (>= 0 bp)	60
# contigs (>= 1000 bp)	17
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	12
# contigs (>= 50000 bp)	11
Total length (>= 0 bp)	4700657
Total length (>= 1000 bp)	4683564
Total length (>= 5000 bp)	4679107
Total length (>= 10000 bp)	4672907
Total length (>= 25000 bp)	4662559
Total length (>= 50000 bp)	4625405
# contigs	22
Largest contig	1022750
Total length	4687454
GC (%)	52.19
N50	739985
N90	161708
auN	715726.1
L50	3
L90	7
# N's per 100 kbp	0.17
