Assembly	GCA_019362115.1_ASM1936211v1_genomic
# contigs (>= 0 bp)	98
# contigs (>= 1000 bp)	23
# contigs (>= 5000 bp)	19
# contigs (>= 10000 bp)	17
# contigs (>= 25000 bp)	16
# contigs (>= 50000 bp)	13
Total length (>= 0 bp)	4849061
Total length (>= 1000 bp)	4819434
Total length (>= 5000 bp)	4810595
Total length (>= 10000 bp)	4795908
Total length (>= 25000 bp)	4785589
Total length (>= 50000 bp)	4667805
# contigs	34
Largest contig	1022747
Total length	4827462
GC (%)	52.17
N50	731093
N90	89931
auN	623658.5
L50	3
L90	9
# N's per 100 kbp	2.22
