Assembly	GCA_019361615.1_ASM1936161v1_genomic
# contigs (>= 0 bp)	79
# contigs (>= 1000 bp)	37
# contigs (>= 5000 bp)	23
# contigs (>= 10000 bp)	19
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	16
Total length (>= 0 bp)	4851307
Total length (>= 1000 bp)	4835547
Total length (>= 5000 bp)	4800615
Total length (>= 10000 bp)	4770373
Total length (>= 25000 bp)	4733691
Total length (>= 50000 bp)	4695620
# contigs	44
Largest contig	1137708
Total length	4840742
GC (%)	52.23
N50	401817
N90	128250
auN	497730.1
L50	4
L90	13
# N's per 100 kbp	2.25
