Assembly	GCA_019362435.1_ASM1936243v1_genomic
# contigs (>= 0 bp)	150
# contigs (>= 1000 bp)	67
# contigs (>= 5000 bp)	41
# contigs (>= 10000 bp)	37
# contigs (>= 25000 bp)	31
# contigs (>= 50000 bp)	27
Total length (>= 0 bp)	5241665
Total length (>= 1000 bp)	5210138
Total length (>= 5000 bp)	5149988
Total length (>= 10000 bp)	5124825
Total length (>= 25000 bp)	5022570
Total length (>= 50000 bp)	4877417
# contigs	81
Largest contig	573798
Total length	5220049
GC (%)	51.88
N50	190961
N90	69129
auN	291801.5
L50	7
L90	24
# N's per 100 kbp	0.00
