Assembly	GCA_019364155.1_ASM1936415v1_genomic
# contigs (>= 0 bp)	204
# contigs (>= 1000 bp)	107
# contigs (>= 5000 bp)	86
# contigs (>= 10000 bp)	78
# contigs (>= 25000 bp)	64
# contigs (>= 50000 bp)	37
Total length (>= 0 bp)	4878711
Total length (>= 1000 bp)	4839029
Total length (>= 5000 bp)	4794873
Total length (>= 10000 bp)	4730270
Total length (>= 25000 bp)	4472798
Total length (>= 50000 bp)	3503796
# contigs	131
Largest contig	211196
Total length	4854776
GC (%)	52.25
N50	79503
N90	26429
auN	91539.1
L50	20
L90	61
# N's per 100 kbp	2.25
