Assembly	GCA_019364175.1_ASM1936417v1_genomic
# contigs (>= 0 bp)	96
# contigs (>= 1000 bp)	40
# contigs (>= 5000 bp)	24
# contigs (>= 10000 bp)	20
# contigs (>= 25000 bp)	18
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	4860430
Total length (>= 1000 bp)	4838210
Total length (>= 5000 bp)	4797904
Total length (>= 10000 bp)	4767382
Total length (>= 25000 bp)	4730700
Total length (>= 50000 bp)	4692629
# contigs	48
Largest contig	1137708
Total length	4844460
GC (%)	52.23
N50	401530
N90	115433
auN	494714.5
L50	4
L90	13
# N's per 100 kbp	0.21
