Assembly	GCA_019363565.1_ASM1936356v1_genomic
# contigs (>= 0 bp)	129
# contigs (>= 1000 bp)	42
# contigs (>= 5000 bp)	32
# contigs (>= 10000 bp)	30
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	23
Total length (>= 0 bp)	4955155
Total length (>= 1000 bp)	4921958
Total length (>= 5000 bp)	4905125
Total length (>= 10000 bp)	4894033
Total length (>= 25000 bp)	4807802
Total length (>= 50000 bp)	4737377
# contigs	55
Largest contig	658967
Total length	4932003
GC (%)	52.18
N50	377380
N90	75594
auN	353476.8
L50	5
L90	19
# N's per 100 kbp	0.00
