Assembly	GCA_019362415.1_ASM1936241v1_genomic
# contigs (>= 0 bp)	56
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	14
# contigs (>= 10000 bp)	13
# contigs (>= 25000 bp)	13
# contigs (>= 50000 bp)	12
Total length (>= 0 bp)	4711270
Total length (>= 1000 bp)	4696893
Total length (>= 5000 bp)	4689016
Total length (>= 10000 bp)	4683874
Total length (>= 25000 bp)	4683874
Total length (>= 50000 bp)	4645790
# contigs	23
Largest contig	1508587
Total length	4700634
GC (%)	52.14
N50	490859
N90	172397
auN	769479.3
L50	3
L90	8
# N's per 100 kbp	2.34
