Assembly	GCA_019363175.1_ASM1936317v1_genomic
# contigs (>= 0 bp)	64
# contigs (>= 1000 bp)	18
# contigs (>= 5000 bp)	16
# contigs (>= 10000 bp)	15
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	13
Total length (>= 0 bp)	4741188
Total length (>= 1000 bp)	4724884
Total length (>= 5000 bp)	4721553
Total length (>= 10000 bp)	4715353
Total length (>= 25000 bp)	4705048
Total length (>= 50000 bp)	4668235
# contigs	22
Largest contig	1022751
Total length	4727498
GC (%)	52.15
N50	521959
N90	154456
auN	575923.8
L50	4
L90	9
# N's per 100 kbp	0.19
